net,netclass,ref,pad,pin
+3V3,POWER,C1,1,1
+3V3,POWER,C2,1,1
+3V3,POWER,C3,1,1
+3V3,POWER,C19,1,1
+3V3,POWER,C20,1,1
+3V3,POWER,C27,1,1
+3V3,POWER,C28,1,1
+3V3,POWER,C32,1,1
+3V3,POWER,C33,1,1
+3V3,POWER,C37,1,1
+3V3,POWER,C38,1,1
+3V3,POWER,C39,1,1
+3V3,POWER,C46,1,1
+3V3,POWER,C53,1,1
+3V3,POWER,C54,1,1
+3V3,POWER,C55,1,1
+3V3,POWER,C56,1,1
+3V3,POWER,C60,1,1
+3V3,POWER,C61,1,1
+3V3,POWER,C62,1,1
+3V3,POWER,C63,1,1
+3V3,POWER,C64,1,1
+3V3,POWER,C72,1,1
+3V3,POWER,C80,1,1
+3V3,POWER,C81,1,1
+3V3,POWER,C82,1,1
+3V3,POWER,C83,1,1
+3V3,POWER,FB1,1,1
+3V3,POWER,J6,1,P1
+3V3,POWER,J9,1,P1
+3V3,POWER,J_CAM,22,3V3
+3V3,POWER,J_DSI,22,3V3
+3V3,POWER,L1,2,2
+3V3,POWER,Q2,2,S
+3V3,POWER,Q6,2,S
+3V3,POWER,R1,1,1
+3V3,POWER,R2,1,1
+3V3,POWER,R6,1,1
+3V3,POWER,R7,1,1
+3V3,POWER,R8,1,1
+3V3,POWER,R22,1,1
+3V3,POWER,R24,1,1
+3V3,POWER,R25,1,1
+3V3,POWER,R34,1,1
+3V3,POWER,R51,1,1
+3V3,POWER,R52,1,1
+3V3,POWER,R71,1,1
+3V3,POWER,R84,1,1
+3V3,POWER,R85,1,1
+3V3,POWER,R90,1,1
+3V3,POWER,R91,1,1
+3V3,POWER,U1,9,VDD_LP
+3V3,POWER,U1,21,VDD_IO_0
+3V3,POWER,U1,62,VDD_IO_4
+3V3,POWER,U1,75,VDD_LDO
+3V3,POWER,U1,77,VDD_DCDCC
+3V3,POWER,U1,96,VDD_IO_6
+3V3,POWER,U1,101,VDD_ANA
+3V3,POWER,U3,14,VOS
+3V3,POWER,U4,4,VIN
+3V3,POWER,U5,9,VDDIO
+3V3,POWER,U6,5,VIO
+3V3,POWER,U6,6,VDD
+3V3,POWER,U6,7,VREGIN
BOOT_BTN,Default,Q1,3,C2
BOOT_BTN,Default,R9,2,2
BOOT_BTN,Default,SW2,1,1
BUCK_FB,Default,R22,2,2
BUCK_FB,Default,R23,1,1
BUCK_FB,Default,U3,5,FB
BUCK_PG,Default,R24,2,2
BUCK_PG,Default,U3,4,PG
BUCK_SS,Default,C57,1,1
BUCK_SS,Default,U3,9,SS/TR
BUCK_SW,POWER,L1,1,1
BUCK_SW,POWER,U3,1,SW
BUCK_SW,POWER,U3,2,SW
BUCK_SW,POWER,U3,3,SW
CAM_CLK_N,MIPI_100,J_CAM,8,CLK_N
CAM_CLK_N,MIPI_100,R77,2,2
CAM_CLK_P,MIPI_100,J_CAM,9,CLK_P
CAM_CLK_P,MIPI_100,R76,2,2
CAM_D0_N,MIPI_100,J_CAM,2,D0_N
CAM_D0_N,MIPI_100,R73,2,2
CAM_D0_P,MIPI_100,J_CAM,3,D0_P
CAM_D0_P,MIPI_100,R72,2,2
CAM_D1_N,MIPI_100,J_CAM,5,D1_N
CAM_D1_N,MIPI_100,R75,2,2
CAM_D1_P,MIPI_100,J_CAM,6,D1_P
CAM_D1_P,MIPI_100,R74,2,2
CAM_EN,Default,J_CAM,17,IO0
CAM_EN,Default,U1,13,GPIO12
CAM_IO1,Default,J_CAM,18,IO1
CAM_IO1,Default,U1,14,GPIO13
CHIP_PU,Default,C42,1,1
CHIP_PU,Default,Q1,6,C1
CHIP_PU,Default,R6,2,2
CHIP_PU,Default,SW1,1,1
CHIP_PU,Default,U1,103,CHIP_PU
CP_DTR,Default,Q1,4,E2
CP_DTR,Default,R35,1,1
CP_DTR,Default,U6,23,~DTR
CP_RST_N,Default,R34,2,2
CP_RST_N,Default,U6,9,~RST
CP_RTS,Default,Q1,1,E1
CP_RTS,Default,R36,1,1
CP_RTS,Default,U6,19,~RTS
CP_VBUS_SENSE,Default,R32,2,2
CP_VBUS_SENSE,Default,R33,1,1
CP_VBUS_SENSE,Default,U6,8,VBUS
CSI_CLK_N,MIPI_100,R77,1,1
CSI_CLK_N,MIPI_100,U1,45,CSI_CLKN
